bisai_id,cold,win,draw,lose
957760,little_cold,2.2,3.6,3.77
958739,normal,3.0,3.6,2.7
958595,big_cold,2.25,3.65,3.9
954561,normal,1.7,4.5,8.2
992926,normal,8.0,4.5,1.66
954513,normal,7.75,4.6,1.7
958626,little_cold,3.7,3.6,2.31
958656,normal,2.75,3.55,3.15
957755,normal,2.27,3.55,3.75
958760,normal,2.3,3.7,4.4
958660,normal,1.9,4.1,5.7
957761,big_cold,2.25,3.75,4.5
958792,normal,2.72,3.6,3.0
958709,normal,2.8,3.55,2.88
992067,normal,2.8,3.6,3.0
957766,little_cold,3.2,3.55,2.7
958746,little_cold,2.97,3.6,2.7
958518,big_cold,1.87,4.1,5.5
954582,little_cold,2.45,3.5,3.6
954531,normal,7.5,4.35,1.8
958817,normal,1.8,4.1,5.34
958717,little_cold,2.63,3.6,3.15
958629,normal,2.75,3.55,2.89
957759,little_cold,2.7,3.6,3.0
957770,big_cold,1.67,4.6,7.5
958630,little_cold,2.34,3.6,3.75
954914,little_cold,3.1,3.4,3.3
955260,normal,2.22,4.5,4.58
955249,normal,2.35,3.25,4.2
926701,normal,9.1,4.55,1.55
960206,big_cold,2.97,5.0,2.65
955256,normal,3.1,4.7,3.25
960189,little_cold,3.4,4.1,2.4
960191,little_cold,3.9,5.2,2.57
962103,normal,2.55,3.72,3.75
972205,little_cold,2.25,3.48,4.0
957058,big_cold,3.52,3.35,2.9
953724,big_cold,3.06,5.0,2.89
969169,normal,2.66,4.9,3.0
956017,big_cold,1.95,6.3,5.5
954391,normal,2.2,3.6,4.75
987200,little_cold,2.84,3.65,3.0
956014,normal,2.85,5.4,2.84
944575,normal,2.37,4.7,3.9
975181,normal,2.32,4.7,4.28
953726,normal,1.65,6.0,8.04
972208,little_cold,3.05,3.45,2.65
953155,normal,1.28,7.5,14.0
960193,big_cold,9.5,5.0,1.6
967041,normal,3.85,3.45,2.6
955257,normal,2.2,5.0,4.35
956019,normal,3.3,3.86,2.52
931668,little_cold,1.9,5.21,9.74
960204,normal,2.02,5.5,4.85
990713,normal,1.29,8.0,19.0
967003,normal,2.45,3.45,3.6
962486,little_cold,2.12,3.6,4.05
929918,big_cold,3.15,3.5,3.25
955731,normal,3.8,3.85,2.15
926670,normal,5.7,3.75,2.0
955255,normal,2.69,4.7,3.3
981676,little_cold,2.2,4.7,6.05
955244,normal,2.72,5.0,2.92
956013,big_cold,3.35,3.82,2.52
956016,normal,2.66,3.66,2.98
983999,big_cold,2.07,3.5,5.36
967401,normal,2.36,3.45,4.05
960892,little_cold,1.92,3.9,5.6
954051,normal,1.4,6.0,10.5
955251,normal,1.99,5.2,6.35
971458,big_cold,2.82,3.75,3.1
961247,normal,1.87,3.88,6.0
956012,normal,6.77,5.2,1.8
935469,big_cold,2.65,4.31,6.6
962448,normal,2.91,3.5,2.91
973752,normal,2.2,3.55,4.75
974261,normal,2.46,4.5,3.4
960547,little_cold,8.2,4.6,1.85
980005,normal,2.5,4.4,4.2
980017,big_cold,2.3,4.5,4.12
982369,little_cold,3.2,3.63,2.6
956018,normal,2.35,4.7,3.5
956015,big_cold,1.92,4.9,4.39
926696,normal,1.39,7.2,15.0
983070,normal,3.64,3.9,2.1
926662,big_cold,3.15,3.92,3.74
926688,little_cold,3.77,3.84,2.45
955254,little_cold,4.27,4.8,2.33
998270,normal,2.32,3.65,4.2
996160,normal,7.03,4.2,1.85
974349,normal,2.17,3.3,5.5
998971,normal,2.27,3.8,5.5
997809,little_cold,2.35,3.75,4.6
999171,normal,1.15,9.6,20.0
997678,big_cold,1.72,5.44,13.0
945050,normal,3.3,3.4,3.3
999166,normal,3.79,3.35,2.4
956933,normal,2.0,4.01,4.22
997196,little_cold,2.45,4.35,9.1
998331,normal,1.3,6.5,17.0
996164,little_cold,3.6,3.5,3.0
996824,big_cold,2.89,3.5,3.52
998271,normal,2.65,3.45,4.51
944794,little_cold,2.16,3.75,4.92
944801,normal,1.82,4.21,8.04
941989,big_cold,1.87,4.4,7.3
935395,big_cold,1.82,4.68,9.37
958009,little_cold,3.0,3.65,3.3
941992,little_cold,4.0,3.8,2.12
963057,little_cold,2.69,3.85,2.6
928397,little_cold,2.61,3.65,3.21
940698,normal,1.92,3.8,5.1
962085,normal,3.18,3.5,2.6
962086,big_cold,2.4,3.75,3.39
932568,normal,2.37,3.65,4.75
929282,normal,1.82,4.4,6.25
928401,little_cold,1.9,3.96,5.5
941983,big_cold,2.95,3.66,2.75
951143,big_cold,1.8,4.1,4.4
955600,little_cold,6.33,4.6,1.67
928396,normal,2.0,3.77,4.45
932566,little_cold,3.47,3.23,2.55
961999,little_cold,1.83,3.95,4.65
932567,normal,3.1,3.6,2.52
926616,big_cold,4.9,3.84,2.08
962006,big_cold,6.9,4.7,1.75
929829,little_cold,2.33,3.5,3.9
929288,normal,1.91,4.05,5.5
956637,normal,1.36,7.65,15.0
941996,normal,2.0,4.1,4.5
953272,normal,2.25,3.63,3.95
941994,normal,2.07,4.0,4.75
962864,big_cold,2.45,3.8,3.64
955575,big_cold,5.2,4.5,1.7
935386,big_cold,4.55,3.9,2.11
962004,normal,2.61,3.78,3.35
952588,normal,2.42,3.64,3.13
941997,normal,1.77,4.33,7.5
934055,big_cold,3.5,3.61,2.55
929291,normal,2.38,3.55,4.4
941993,big_cold,3.1,3.74,2.7
928399,big_cold,2.58,3.65,3.45
962863,normal,2.5,4.05,3.7
952586,big_cold,1.85,4.09,5.2
944818,normal,2.3,3.52,5.02
944783,little_cold,2.45,3.45,3.77
929298,normal,2.19,3.75,4.15
929838,normal,3.4,3.5,2.37
955570,normal,19.2,10.4,1.2
934111,big_cold,2.69,3.45,3.3
931547,little_cold,6.3,4.4,1.95
963055,normal,2.55,3.9,3.0
929831,little_cold,3.6,4.0,2.39
928398,normal,1.56,4.55,7.02
956980,normal,1.7,6.0,7.0
929398,big_cold,2.01,4.0,4.35
962005,big_cold,2.9,3.75,2.6
931532,big_cold,2.48,3.4,3.35
944800,normal,2.17,3.75,6.0
934070,little_cold,3.01,3.55,2.95
956629,normal,2.7,3.75,3.66
