,bisai,host,guest
1343,745694,1,0
1344,745697,2,0
1345,745702,1,2
1346,745708,2,2
1347,745745,0,1
1348,745769,1,1
1349,745771,1,1
1350,745778,1,2
1351,745781,0,1
1352,745782,2,1
1353,745784,4,1
1354,745785,3,3
1355,745787,2,2
1356,753494,0,1
1357,710932,0,1
1358,710934,2,1
1359,710935,0,0
1360,710945,2,0
1361,710947,1,1
1362,710953,1,1
1363,710956,3,4
1364,711336,1,1
1365,711339,1,4
1366,711768,0,2
1367,716538,3,1
1368,717706,4,1
1369,717708,2,2
1370,717782,1,1
1371,717791,1,2
1372,723527,0,3
1373,723537,1,2
1374,728023,2,3
1375,728094,1,3
1376,728095,0,4
1377,728097,1,1
1378,738164,2,1
1379,752120,7,1
1380,764057,2,0
1381,764978,1,2
1382,770811,1,1
1383,709951,1,0
1384,709956,0,1
1385,709958,2,1
1386,714588,2,0
1387,714594,0,4
1388,725453,1,1
1389,728034,1,1
1390,770760,2,1
1391,704126,2,1
1392,704129,1,0
1393,764299,1,1
1394,770812,1,1
1395,702669,2,3
1396,703845,1,1
1397,712027,2,2
1398,712436,2,1
1399,714342,1,1
1400,714347,1,2
1401,715116,5,0
1402,716542,1,3
1403,716554,0,0
1404,717702,2,1
1405,717716,4,0
1406,722522,5,1
1407,722554,0,1
1408,728022,0,4
1409,728030,1,4
1410,728039,1,1
1411,730404,2,2
1412,730453,0,0
1413,730458,2,1
1414,735719,0,7
1415,735725,1,3
1416,736043,4,2
1417,738162,3,0
1418,742919,1,1
1419,742930,1,3
1420,743059,2,1
1421,763281,0,2
1422,764240,0,1
1423,764300,0,0
1424,764788,1,3
1425,764791,2,1
1426,764792,2,1
1427,764793,1,1
1428,764795,1,1
1429,770817,1,6
1430,722852,2,3
1431,722856,0,4
1432,722857,0,1
1433,722858,1,0
1434,722862,2,1
1435,722864,4,2
1436,722867,1,1
1437,722874,2,1
1438,738169,1,0
1439,704642,2,1
1440,704909,2,4
1441,704916,1,1
1442,705050,3,0
1443,705057,6,2
1444,705060,1,1
1445,705082,1,0
1446,706014,3,1
1447,713790,2,4
1448,713802,4,4
1449,714889,0,2
1450,715574,2,1
1451,717778,5,1
1452,729756,1,5
1453,729916,0,1
1454,729931,0,0
1455,730119,2,3
1456,730132,4,1
1457,730133,1,3
1458,730136,3,2
1459,735668,3,1
1460,735669,1,0
1461,735670,2,1
1462,735671,3,2
1463,735672,2,4
1464,735674,0,3
1465,735679,5,1
1466,735683,0,0
1467,735684,2,0
1468,742724,11,0
1469,742729,1,7
1470,742730,5,1
1471,742733,1,5
1472,742738,2,1
1473,743304,3,1
1474,747281,2,0
1475,747301,0,2
1476,747303,2,1
1477,747314,0,2
1478,747691,1,3
1479,747966,2,0
1480,747979,2,2
1481,747995,1,1
1482,747999,3,1
1483,748000,2,1
1484,748003,0,0
1485,748014,1,2
1486,748016,2,0
1487,748020,2,1
1488,748021,2,1
1489,748027,0,2
1490,748030,2,1
1491,748034,1,0
1492,748057,0,0
1493,748061,3,0
